ICV796,C([C@H]([C@H](CC1=CC=CC=C1)NC([C@@H](NC(=O)C2=NC3=C(C=C2)C=CC=C3)CC(N)=O)=O)O)N4[C@H](C(NC(C)(C)C)=O)C[C@]5([C@@](C4)(CCCC5)[H])[H]
ICV629,O=C(OC1CCC(F)(F)CC1)N[C@@H](CC(C)C)C(N[C@H](C=O)C[C@H]2C(NCC2)=O)=O
ICV794,O=C(OC1C2=NC=CN=C2C(=O)N1C3=NC=C(Cl)C=C3)N4CCN(C)CC4
ICV148,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC(OC)=C(C3)C4=C(O)C=C(O)C=5C(=O)C=C(OC54)C=6C=CC(O)=CC6
ICV25,C(=C/1\C(=NN(C1=O)C2=CC=C(C(C)(C)C)C=C2)C3=CC=CC=C3)\C=4OC(=CC4)C5=C(C(O)=O)C=CC(Cl)=C5
ICV665,[C@@H](C[C@H]1C(=O)NCC1)(NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)C=2C=C(C)ON2)C)=O)C(C)C)=O)CC(C)C)=O)/C=C/C(OCC3=CC=CC=C3)=O
ICV311,[C@@H](NC(=O)C1=C(C)C=CC(I)=C1)(C)C=2C3=C(C=CC2)C=CC=C3
ICV363,O=C1C(=O)C2=C(OC=C2C)C=3C=CC4=C(C=CC=C4C)C13
ICV273,C(N[C@@H](CC1=CC(F)=CC=C1)C(N[C@@H](C[C@H]2C(=O)NCC2)C=O)=O)(=O)C3=CC=4C(N3)=CC=CC4
ICV674,O(C)C1=C2C(NC(C(N[C@H](C(N[C@@H](C[C@H]3C(=O)NCC3)C(COP(=O)(O)O)=O)=O)CC(C)C)=O)=C2)=CC=C1
ICV355,O=C(O)C1=CC(=CC=C1NC(=O)C=2C=CC=CC2)C=3C=CC(NC(=O)C=4C=CC=CC4)=C(C3)C(=O)O
ICV213,O=[N+](O[Hg]C1=CC=CC=C1)[O-]
ICV400,C([C@H](OCP(OC1=CC=CC=C1)(N[C@H](C(OC(C)C)=O)C)=O)C)N2C=3C(N=C2)=C(N)N=CN3
ICV319,[C@@H](C)(C1=CC2=C(C=C1)C=CC=C2)N3CCC(C(NCC4=C(OC)C=CC=C4)=O)CC3
ICV105,[C@H](C[C@H]1C(=O)NCC1)(C(=O)C2=NC=CS2)NC([C@@H](NC([C@@H](NC(OCC3=CC=CC=C3)=O)[C@H](C)C)=O)CC(C)C)=O
ICV80,[C@@H](C(N[C@H](C(N[C@@H](C[C@H]1C(=O)NCC1)C=CC(OCC)=O)=O)CC(C)C)=O)([C@H](OC(C)(C)C)C)NC(OCC2=CC=CC=C2)=O
ICV197,CN1C(C(N=C1)=C2)=CC=C2NC(C(C=C3)=CC=C3Cl)=O
ICV760,O=C1[C@H](C[C@H](NC([C@H]2N(C(C3=CC=CN=C3)=O)C[C@]([H])(CCC4)[C@@]24[H])=O)C([H])=O)CCN1
ICV769,O=C1[C@H](C[C@H](NC([C@H]2N(C(CCC3=CC=C(N(C)C)C=C3)=O)C[C@]([H])(CCC4)[C@@]24[H])=O)C([H])=O)CCN1
ICV392,OC1=CC=C(C=C1OC)CC(C2=NC(=C(O)C(=C2CO)C34OC5(O)CC(O)(O3)CC(O)(O4)C5)C)C
ICV205,O=C(NCC1=CC=CC=C1)N(CCC(C=CC=C2)=C2C)CC3=CC(C(NC3=O)=C4)=CC(C)=C4C
ICV330,[C@@H](C)(C=1C2=C(C=CC1)C=CC=C2)N3CCC(C(NCC4=CC=C(C(NC)=O)C=C4)=O)CC3
ICV166,C(=O)(N1[C@H](C(N[C@H](C(NCC(N)=O)=O)CC(C)C)=O)CCC1)[C@H]2NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@]([C@H](CC)C)(NC(=O)[C@H](CC3=CC=C(O)C=C3)NC(=O)[C@@H](N)CSSC2)[H]
ICV268,N=1C=CNC1SSC(C)CC
ICV765,O=C1[C@H](C[C@H](NC([C@H]2N(C(/C=C/C3=CC=C(N(C)C)C=C3)=O)C[C@]([H])(CCC4)[C@@]24[H])=O)C([H])=O)CCN1
ICV364,O=C1C=2C(C3=C(C1=O)[C@@H](C)CO3)=CC=C4C2C=CC=C4C
ICV174,O=C(ON1N=NC=2C=CC=CC21)C3=CC=C(C=C3)NC
ICV219,O=C(CN1C2=CC=CC=C2N=N1)N(C(C=C3)=CC=C3NC(C4CC4)=O)C(C5=CSC=C5)C(NC(C)(C)C)=O
ICV709,S=C=NCCC=1C=CC=CC1
ICV685,N(C([C@H](CC1=CC=CC=C1)C[C@@H](CN2[C@H](C(NC(C)(C)C)=O)CN(CC=3C=CC=NC3)CC2)O)=O)[C@H]4C=5C(C[C@H]4O)=CC=CC5
ICV246,O=C(C1=C(N2)C=CC(C(C)=O)=C1)C2=O
ICV60,[C@@](CC1=CC=CC=C1)([C@H]([C@@H]([C@H](CC2=CC=CC=C2)NC([C@@H](NC([C@@H](NC(OCC3=CC=CC=C3)=O)C)=O)[C@H](C)C)=O)O)O)(NC([C@@H](NC([C@@H](NC(OCC4=CC=CC=C4)=O)C)=O)[C@@H](C)C)=O)[H]
ICV100,CC(N[C@@H](CO)C(N[C@H](C(N[C@@H](CC1CCCCC1)C(N[C@H](C=O)CC2=CN=CN2)=O)=O)C(C)C)=O)=O
ICV747,O=C1[C@H](C[C@H](NC([C@H]2N(C(COC3=CC(C=CC=C4)=C4C=C3)=O)C[C@@]5([H])[C@]2([H])C5(C)C)=O)C([H])=O)CCN1
ICV79,[C@@H](C[C@H]1C(=O)NCC1)(NC([C@@H](NC([C@@H](NC(OCC2=CC=CC=C2)=O)C(C)C)=O)CC(C)C)=O)C=CC(OCC)=O
ICV281,OC1=C2C(O[C@@H](CC2=O)C3=CC(OC)=C(O)C=C3)=CC(O)=C1C/C=C(/CCC=C(C)C)\C
ICV177,O=S(=O)(O)C=1C=2SC(=NC2C=CC1C)C3=CC=C(N)C=C3
ICV187,O=C(NC(C)(C)C)[C@@H](C1=CN=CC=C1)N(C(C=C2)=CC=C2C(C)(C)C)C(C3=CC=CO3)=O
ICV208,O=C(C1=CC(B(O)O)=CC([N+]([O-])=O)=C1)OCC2=CC(B(O)O)=CC=C2
ICV768,O=C1[C@H](C[C@H](NC([C@H]2N(C(CCC3=CC(F)=CC(F)=C3)=O)C[C@]([H])(CCC4)[C@@]24[H])=O)C([H])=O)CCN1
ICV797,[C@@]([C@@H](C)C1=NC(=CS1)C2=CC=C(C#N)C=C2)(CN3C=NC=N3)(O)C4=C(F)C=CC(F)=C4
ICV218,[O-]C(CC1N[Zn+2](OC1=O)(NC2CC([O-])=O)OC2=O)=O
ICV706,C(=C/C1=CC(O)=C(O)C=C1)\C2=C(/C=C/C(O[C@H](CC3=CC(O)=C(O)C=C3)C(O)=O)=O)C=CC(O)=C2O
ICV623,O=C(N[C@H](C(N[C@@H](C[C@H]1C(NCC1)=O)C=O)=O)CC(C)C)OC2CCCCC2
ICV26,C(=C/1\C(=NN(C1=O)C2=CC=C(C(C)C)C=C2)C3=CC=CC=C3)\C=4OC(=CC4)C5=C(C(O)=O)C=CC(Cl)=C5
ICV98,CC(N[C@@H](C)C(N[C@H](C(N[C@@H](CC1CCCCC1)C(N[C@H](C=O)CC2=CN=CN2)=O)=O)C(C)C)=O)=O
ICV314,O=C(NCC=1C=CC=C(OC)C1)C2CCN(CC3=CC=CC=4C=CC=CC43)CC2
ICV253,O=C(C1=C(N2)C=CC(S(=O)(N3CCCCC3)=O)=C1)C2=O
ICV349,S=C1N=CNC=2N=CNC12
ICV785,N(CC=C)C1=C2C(=O)C(=CC1=O)NC(=O)\C(\C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(\C)=C\[C@H](C)[C@@H](O)[C@@H](OC)C[C@H](C)C2
ICV125,C(CC1=CC=CC=C1)(NC([C@@H](NC(OCC2=CC=CC=C2)=O)CC(C)C)=O)C(C(F)(F)F)=O
ICV223,O=C(CN1C2=CC=CC=C2N=N1)N(C(C=C3)=CC=C3NC(C(C)C)=O)C(C4=CSC=C4)C(NC(C)(C)C)=O
ICV687,N#CNC(=NCCSCC=1NC=NC1C)NC
ICV318,[C@@H](C)(C1=CC2=C(C=C1)C=CC=C2)N3CCC(C(NCC4=CC(OC)=CC=C4)=O)CC3
ICV322,O=C(NCC1=CC=C2OCOC2=C1)C3CCN(CC3)C(C4=CC=CC=5C=CC=CC54)CC
ICV354,[C@H](C)(C=1C2=C(C=CC1)C=CC=C2)N3CCC(C(NCC=4C=C5C(=CC4)OCO5)=O)CC3
ICV420,O(C=1C2=CC3=CC1OC=4C(Cl)=CC(=CC4)[C@@H](O)[C@@H](NC([C@@H](CC(C)C)NC)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@]3(C(=O)N[C@@]5(C=6C=C(C=7C([C@@H](C(O)=O)NC(=O)[C@]([C@H](O)C=8C=C(Cl)C(O2)=CC8)(NC5=O)[H])=CC(O)=C(CNCP(=O)(O)O)C7O)C(O)=CC6)[H])[H])[C@H]9[C@H](O[C@H]%10C[C@@](NCCNCCCCCCCCCC)(C)[C@H](O)[C@H](C)O%10)[C@@H](O)[C@H](O)[C@@H](CO)O9
ICV408,OC(COC1=CC=CC(OCC(O)CN2CCCCC2)=C1)CN3CCCCC3
ICV141,O=C(C1=O)C2=C(C=CC(S(=O)(N3CCOCC3)=O)=C2)N1CC4=CC5=C(C=CC=C5)C=C4
ICV124,O=C(C1=NC2=CC=CC=C2S1)[C@H](C[C@H]3C(NCC3)=O)NC([C@H](CC(C)C)NC(C4=CNC5=C4C=CC=C5)=O)=O
